prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 7, 79.2, 50.0, 63.6, 16.7, 56.0, 26.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 7, 83.0, 58.3, 63.6, 11.9, 60.9, 20.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 5, 7, 6, 77.4, 46.2, 54.5, 16.7, 50.0, 25.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 8, 81.1, 53.3, 72.7, 16.7, 61.5, 27.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 7, 79.2, 50.0, 63.6, 16.7, 56.0, 26.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 6, 6, 5, 77.4, 45.5, 45.5, 14.3, 45.5, 21.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 8, 81.1, 53.3, 72.7, 16.7, 61.5, 27.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 6, 4, 5, 81.1, 55.6, 45.5, 9.5, 50.0, 15.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 6, 10, 5, 69.8, 33.3, 45.5, 23.8, 38.5, 31.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 5, 3, 6, 84.9, 66.7, 54.5, 7.1, 60.0, 12.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 6, 8, 5, 73.6, 38.5, 45.5, 19.0, 41.7, 26.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 8, 88.7, 72.7, 72.7, 7.1, 72.7, 13.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 8, 84.9, 61.5, 72.7, 11.9, 66.7, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 4, 8, 7, 77.4, 46.7, 63.6, 19.0, 53.8, 29.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 8, 90.6, 80.0, 72.7, 4.8, 76.2, 8.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 8, 86.8, 66.7, 72.7, 9.5, 69.6, 16.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 8, 84.9, 61.5, 72.7, 11.9, 66.7, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 6, 7, 5, 75.5, 41.7, 45.5, 16.7, 43.5, 24.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 7, 7, 4, 73.6, 36.4, 36.4, 16.7, 36.4, 22.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 6, 4, 5, 81.1, 55.6, 45.5, 9.5, 50.0, 15.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 6, 6, 5, 77.4, 45.5, 45.5, 14.3, 45.5, 21.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 8, 88.7, 72.7, 72.7, 7.1, 72.7, 13.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 8, 88.7, 72.7, 72.7, 7.1, 72.7, 13.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 8, 86.8, 66.7, 72.7, 9.5, 69.6, 16.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 7, 81.1, 53.8, 63.6, 14.3, 58.3, 23.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 7, 83.0, 58.3, 63.6, 11.9, 60.9, 20.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 7, 81.1, 53.8, 63.6, 14.3, 58.3, 23.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 8, 81.1, 53.3, 72.7, 16.7, 61.5, 27.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 4, 10, 7, 73.6, 41.2, 63.6, 23.8, 50.0, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 2, 2, 9, 92.5, 81.8, 81.8, 4.8, 81.8, 9.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 7, 10, 4, 67.9, 28.6, 36.4, 23.8, 32.0, 28.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 7, 6, 4, 75.5, 40.0, 36.4, 14.3, 38.1, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 7, 9, 4, 69.8, 30.8, 36.4, 21.4, 33.3, 27.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 7, 79.2, 50.0, 63.6, 16.7, 56.0, 26.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 8, 86.8, 66.7, 72.7, 9.5, 69.6, 16.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 7, 81.1, 53.8, 63.6, 14.3, 58.3, 23.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 5, 8, 6, 75.5, 42.9, 54.5, 19.0, 48.0, 28.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 8, 88.7, 72.7, 72.7, 7.1, 72.7, 13.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 6, 6, 5, 77.4, 45.5, 45.5, 14.3, 45.5, 21.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 6, 8, 5, 73.6, 38.5, 45.5, 19.0, 41.7, 26.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 8, 84.9, 61.5, 72.7, 11.9, 66.7, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 7, 79.2, 50.0, 63.6, 16.7, 56.0, 26.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 6, 11, 5, 67.9, 31.3, 45.5, 26.2, 37.0, 33.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 8, 84.9, 61.5, 72.7, 11.9, 66.7, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 2, 2, 9, 92.5, 81.8, 81.8, 4.8, 81.8, 9.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 2, 3, 9, 90.6, 75.0, 81.8, 7.1, 78.3, 13.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 7, 81.1, 53.8, 63.6, 14.3, 58.3, 23.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 7, 81.1, 53.8, 63.6, 14.3, 58.3, 23.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 8, 8, 3, 69.8, 27.3, 27.3, 19.0, 27.3, 22.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 8, 6, 3, 73.6, 33.3, 27.3, 14.3, 30.0, 18.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 8, 90.6, 80.0, 72.7, 4.8, 76.2, 8.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 6, 5, 5, 79.2, 50.0, 45.5, 11.9, 47.6, 18.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 7, 83.0, 58.3, 63.6, 11.9, 60.9, 20.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 8, 83.0, 57.1, 72.7, 14.3, 64.0, 23.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 7, 79.2, 50.0, 63.6, 16.7, 56.0, 26.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 8, 88.7, 72.7, 72.7, 7.1, 72.7, 13.0
