numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 1, 0, 4, 96.3, 100.0, 80.0, 0.0, 88.9, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 3, 1, 2, 85.2, 66.7, 40.0, 4.5, 50.0, 8.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 18, 3, 3, 2, 76.9, 40.0, 40.0, 14.3, 40.0, 21.1
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 3, 0, 2, 88.9, 100.0, 40.0, 0.0, 57.1, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 4, 2, 1, 77.8, 33.3, 20.0, 9.1, 25.0, 12.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 0, 0, 5, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 1, 0, 1, 88.9, 100.0, 50.0, 0.0, 66.7, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 5, 0, 2, 2, 77.8, 50.0, 100.0, 28.6, 66.7, 44.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 0, 0, 2, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 5, 0, 2, 2, 77.8, 50.0, 100.0, 28.6, 66.7, 44.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 1, 1, 1, 77.8, 50.0, 50.0, 14.3, 50.0, 22.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 0, 0, 2, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 5, 0, 2, 2, 77.8, 50.0, 100.0, 28.6, 66.7, 44.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 1, 1, 1, 77.8, 50.0, 50.0, 14.3, 50.0, 22.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 5, 1, 2, 1, 66.7, 33.3, 50.0, 28.6, 40.0, 36.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 5, 0, 2, 2, 77.8, 50.0, 100.0, 28.6, 66.7, 44.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 0, 0, 2, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 0, 0, 2, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 0, 0, 2, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 1, 1, 1, 77.8, 50.0, 50.0, 14.3, 50.0, 22.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 1, 0, 1, 88.9, 100.0, 50.0, 0.0, 66.7, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 5, 0, 2, 2, 77.8, 50.0, 100.0, 28.6, 66.7, 44.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 6, 0, 1, 2, 88.9, 66.7, 100.0, 14.3, 80.0, 25.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 7, 0, 0, 2, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
